,ry_rank,name,rating,genre,gross,release_year,primary_genre
0,1,Toy Story 3,G,"Animation, Adventure, Comedy",415.0,2010,Animation
1,2,Alice in Wonderland,PG,"Adventure, Family, Fantasy",334.19,2010,Adventure
2,3,Iron Man 2,PG-13,"Action, Adventure, Sci-Fi",312.43,2010,Action
3,4,The Twilight Saga: Eclipse,PG-13,"Action, Adventure, Crime",300.53,2010,Action
4,5,Harry Potter and the Deathly Hallows: Part 1,PG-13,"Adventure, Family, Fantasy",295.98,2010,Adventure
5,6,Inception,PG-13,"Action, Adventure, Sci-Fi",292.58,2010,Action
6,7,Despicable Me,PG,"Animation, Comedy, Family",251.51,2010,Animation
7,8,Shrek Forever After,PG,"Animation, Adventure, Comedy",238.37,2010,Animation
8,9,How to Train Your Dragon,PG,"Animation, Action, Adventure",217.58,2010,Animation
9,10,Tangled,PG,"Animation, Adventure, Comedy",200.82,2010,Animation
10,11,The Karate Kid,PG,"Action, Drama, Family",176.59,2010,Action
11,12,Tron,PG,"Action, Adventure, Sci-Fi",172.06,2010,Action
12,13,True Grit,PG-13,"Drama, Western",171.24,2010,Drama
13,14,Clash of the Titans,PG-13,"Action, Adventure, Fantasy",163.21,2010,Action
14,15,Grown Ups,PG-13,Comedy,162.0,2010,Comedy
15,16,Megamind,PG,"Animation, Action, Comedy",148.42,2010,Animation
16,17,Little Fockers,PG-13,"Comedy, Romance",148.38,2010,Comedy
17,18,The King's Speech,R,"Biography, Drama, History",138.8,2010,Biography
18,19,The Last Airbender,PG,"Action, Adventure, Family",131.56,2010,Action
19,20,Shutter Island,R,"Mystery, Thriller",128.01,2010,Mystery
20,21,The Other Guys,PG-13,"Action, Comedy, Crime",119.22,2010,Action
21,22,Salt,PG-13,"Action, Mystery, Thriller",118.31,2010,Action
22,23,Jackass 3D,R,"Documentary, Action, Comedy",117.22,2010,Documentary
23,24,Valentine's Day,PG-13,"Comedy, Romance",110.49,2010,Comedy
24,25,Black Swan,R,"Drama, Thriller",106.95,2010,Drama
25,26,Robin Hood,PG-13,"Action, Drama, History",105.27,2010,Action
26,27,The Chronicles of Narnia: The Voyage of the Dawn Treader,PG,"Adventure, Family, Fantasy",104.39,2010,Adventure
27,28,The Expendables,R,"Action, Adventure, Thriller",103.07,2010,Action
28,29,Due Date,R,"Comedy, Drama",100.54,2010,Comedy
29,30,Yogi Bear,PG,"Animation, Adventure, Comedy",100.25,2010,Animation
30,31,Date Night,PG-13,"Comedy, Crime, Romance",98.71,2010,Comedy
31,32,The Social Network,PG-13,"Biography, Drama",96.96,2010,Biography
32,33,Sex and the City 2,R,"Comedy, Drama, Romance",95.35,2010,Comedy
33,34,The Book of Eli,R,"Action, Adventure, Drama",94.84,2010,Action
34,35,The Fighter,R,"Biography, Drama, Sport",93.62,2010,Biography
35,36,The Town,R,"Crime, Drama, Thriller",92.19,2010,Crime
36,37,Prince of Persia: The Sands of Time,PG-13,"Action, Fantasy",90.76,2010,Action
