,name,rating,genre,gross,release_year
1,Toy Story 3,G,"Animation, Adventure, Comedy",415.0,2010
2,Alice in Wonderland,PG,"Adventure, Family, Fantasy",334.19,2010
3,Iron Man 2,PG-13,"Action, Adventure, Sci-Fi",312.43,2010
4,The Twilight Saga: Eclipse,PG-13,"Action, Adventure, Crime",300.53,2010
5,Harry Potter and the Deathly Hallows: Part 1,PG-13,"Adventure, Family, Fantasy",295.98,2010
6,Inception,PG-13,"Action, Adventure, Sci-Fi",292.58,2010
7,Despicable Me,PG,"Animation, Comedy, Family",251.51,2010
8,Shrek Forever After,PG,"Animation, Adventure, Comedy",238.37,2010
9,How to Train Your Dragon,PG,"Animation, Action, Adventure",217.58,2010
10,Tangled,PG,"Animation, Adventure, Comedy",200.82,2010
11,The Karate Kid,PG,"Action, Drama, Family",176.59,2010
12,Tron,PG,"Action, Adventure, Sci-Fi",172.06,2010
13,True Grit,PG-13,"Drama, Western",171.24,2010
14,Clash of the Titans,PG-13,"Action, Adventure, Fantasy",163.21,2010
15,Grown Ups,PG-13,Comedy,162.0,2010
16,Megamind,PG,"Animation, Action, Comedy",148.42,2010
17,Little Fockers,PG-13,"Comedy, Romance",148.38,2010
18,The King's Speech,R,"Biography, Drama, History",138.8,2010
19,The Last Airbender,PG,"Action, Adventure, Family",131.56,2010
20,Shutter Island,R,"Mystery, Thriller",128.01,2010
21,The Other Guys,PG-13,"Action, Comedy, Crime",119.22,2010
22,Salt,PG-13,"Action, Mystery, Thriller",118.31,2010
23,Jackass 3D,R,"Documentary, Action, Comedy",117.22,2010
24,Valentine's Day,PG-13,"Comedy, Romance",110.49,2010
25,Black Swan,R,"Drama, Thriller",106.95,2010
26,Robin Hood,PG-13,"Action, Drama, History",105.27,2010
27,The Chronicles of Narnia: The Voyage of the Dawn Treader,PG,"Adventure, Family, Fantasy",104.39,2010
28,The Expendables,R,"Action, Adventure, Thriller",103.07,2010
29,Due Date,R,"Comedy, Drama",100.54,2010
30,Yogi Bear,PG,"Animation, Adventure, Comedy",100.25,2010
31,Date Night,PG-13,"Comedy, Crime, Romance",98.71,2010
32,The Social Network,PG-13,"Biography, Drama",96.96,2010
33,Sex and the City 2,R,"Comedy, Drama, Romance",95.35,2010
34,The Book of Eli,R,"Action, Adventure, Drama",94.84,2010
35,The Fighter,R,"Biography, Drama, Sport",93.62,2010
36,The Town,R,"Crime, Drama, Thriller",92.19,2010
37,Prince of Persia: The Sands of Time,PG-13,"Action, Fantasy",90.76,2010
38,RED,PG-13,"Action, Comedy, Crime",90.38,2010
39,Percy Jackson & the Olympians: The Lightning Thief,PG,"Adventure, Family, Fantasy",88.76,2010
40,Paranormal Activity 2,R,Horror,84.75,2010
41,Unstoppable,PG-13,"Action, Thriller",81.56,2010
42,Eat Pray Love,PG-13,"Drama, Romance",80.57,2010
43,Dear John,PG-13,"Drama, Romance, War",80.01,2010
44,The A-Team,PG-13,"Action, Adventure, Thriller",77.22,2010
45,Knight and Day,PG-13,"Action, Adventure, Comedy",76.42,2010
46,Dinner for Schmucks,PG-13,Comedy,73.03,2010
47,The Tourist,PG-13,"Action, Adventure, Crime",67.63,2010
48,The Bounty Hunter,PG-13,"Action, Comedy, Romance",67.06,2010
49,Diary of a Wimpy Kid,PG,"Comedy, Drama, Family",64.0,2010
50,The Sorcerer's Apprentice,PG,"Action, Adventure, Family",63.15,2010
1,Harry Potter and the Deathly Hallows: Part 2,PG-13,"Adventure, Drama, Fantasy",381.01,2011
2,Transformers: Dark of the Moon,PG-13,"Action, Adventure, Sci-Fi",352.39,2011
3,The Twilight Saga: Breaking Dawn - Part 1,PG-13,"Action, Adventure, Drama",281.29,2011
4,The Hangover Part II,R,Comedy,254.46,2011
5,Pirates of the Caribbean: On Stranger Tides,PG-13,"Action, Adventure, Fantasy",241.06,2011
6,Fast Five,PG-13,"Action, Adventure, Thriller",209.84,2011
7,Mission: Impossible - Ghost Protocol,PG-13,"Action, Adventure, Thriller",209.4,2011
8,Cars 2,G,"Animation, Adventure, Comedy",191.45,2011
9,Sherlock Holmes: A Game of Shadows,PG-13,"Action, Adventure, Crime",186.85,2011
10,Thor,PG-13,"Action, Adventure, Fantasy",181.03,2011
11,Rise of the Planet of the Apes,PG-13,"Action, Drama, Sci-Fi",176.76,2011
12,Captain America: The First Avenger,PG-13,"Action, Adventure, Sci-Fi",176.65,2011
13,The Help,PG-13,Drama,169.71,2011
14,Bridesmaids,R,"Comedy, Romance",169.11,2011
15,Kung Fu Panda 2,PG,"Animation, Action, Adventure",165.25,2011
16,Puss in Boots,PG,"Animation, Action, Adventure",149.26,2011
17,X: First Class,PG-13,"Action, Adventure, Sci-Fi",146.41,2011
18,Rio,G,"Animation, Adventure, Comedy",143.62,2011
19,The Smurfs,PG,"Animation, Adventure, Comedy",142.61,2011
20,Alvin and the Chipmunks: Chipwrecked,G,"Animation, Adventure, Comedy",133.11,2011
21,Super 8,PG-13,"Mystery, Sci-Fi, Thriller",127.0,2011
22,Rango,PG,"Animation, Adventure, Comedy",123.48,2011
23,Horrible Bosses,R,"Comedy, Crime",117.54,2011
24,Green Lantern,PG-13,"Action, Adventure, Sci-Fi",116.6,2011
25,Hop,PG,"Animation, Adventure, Comedy",108.09,2011
26,Paranormal Activity 3,R,"Horror, Mystery, Thriller",104.01,2011
27,Just Go with It,PG-13,"Comedy, Romance",103.03,2011
28,The Girl with the Dragon Tattoo,R,"Crime, Drama, Mystery",102.52,2011
29,Bad Teacher,R,"Comedy, Romance",100.29,2011
30,Cowboys & Aliens,PG-13,"Action, Adventure, Fantasy",100.24,2011
31,Gnomeo & Juliet,G,"Animation, Adventure, Comedy",99.97,2011
32,The Green Hornet,PG-13,"Action, Comedy, Crime",98.78,2011
